계좌명,자산군,위험도,구분,종목명,티커,수량,매입단가,매입금액,배율,현재가,거래량,전일종가,전일대비(%),거래대금,시가총액,52주 최고,최고대비(%),52주 최저,PER,EPS
메인 계좌,레버리지ETF,위험,지수,다우존스 2배,DDM,,,,2,65.17,11546,66.23,-1.6,752452.82,#N/A,71.25,-0.08533333333,49.26,#N/A,#N/A
메인 계좌,레버리지ETF,위험,지수,다우존스 3배,UDOW,,,,3,69.1,325436,70.75,-2.33,22487627.6,#N/A,79.26,-0.1281857179,46.25,#N/A,#N/A
메인 계좌,ETF,주의,반도체,반도체,SOXX,,,,2,531.82,2972079,528.4,0.65,1580611054,24406792428,655.94,-0.1892246242,251.86,#N/A,#N/A
메인 계좌,레버리지ETF,위험,반도체,반도체 2배,USD,,,,3,89.38,72412,89.7,-0.36,6472184.56,#N/A,116.5,-0.2327896996,42.18,#N/A,#N/A
메인 계좌,레버리지ETF,위험,반도체,반도체 3배,SOXL,37,171.19,,4,125.59,5473345,123.27,1.88,687397398.6,2777592193,302,-0.5841390728,28.07,#N/A,#N/A
메인 계좌,본주,주의,기술,아마존,AMZN,,,,2,251.4,14162698,256.97,-2.17,3560502277,2711462660467,287.16,-0.1245298788,196,20.25,12.43
메인 계좌,레버리지ETF,위험,기술,아마존 2배,AMZU,,,,4,35.15,1312605,36.72,-4.27,46138065.75,#N/A,47.13,-0.2541905368,24.54,#N/A,#N/A
메인 계좌,본주,위험,경기소비재,테슬라,TSLA,,,,2,370.48,18281313,368.16,0.63,6772860840,1160543268599,498.82,-0.2572871978,297.38,344.4,1.08
메인 계좌,레버리지ETF,위험,경기소비재,테슬라 2배,TSLL,2713,13.02,,4,9.99,39933473,9.87,1.22,398935395.3,#N/A,23.74,-0.5791912384,6.7,#N/A,#N/A
메인 계좌,ETF,위험,배당,테슬라 커버드콜·배당,TSLY,,,,0.75,22.91,34301,22.79,0.53,785835.91,#N/A,48.43,-0.5269461078,20.41,#N/A,#N/A
메인 계좌,본주,주의,반도체,엔비디아,NVDA,,,,2,224.23,38893937,225.73,-0.67,8721187494,5402012611405,236.54,-0.05204193794,164.27,28.36,7.91
메인 계좌,레버리지ETF,위험,반도체,엔비디아 2배,NVDL,,,,4,35.65,4239521,36.18,-1.46,151138923.7,#N/A,43.27,-0.1761035359,21.54,#N/A,#N/A
메인 계좌,ETF,위험,배당,엔비디아 커버드콜·배당,NVDY,,,,0.75,12.76,119005,12.82,-0.47,1518503.8,#N/A,17.57,-0.2737620945,11.57,#N/A,#N/A
